ratio,method,variant,mean_rank_corr,mean_topk_overlap,mean_magnitude_var,mean_dispersion,n_folds,median_rank_corr,iqr_rank_corr,sd_magnitude_var,median_magnitude_var,iqr_magnitude_var
0.1,shap,magnitude,0.6552428176144586,0.6726666666666665,0.00016636884746878107,0.9440425444461372,25,0.660290850530313,0.05415325076240074,1.2589592719239012e-05,0.00015892518774119347,1.3752903873612553e-05
0.3,shap,magnitude,0.8380176230262788,0.7846666666666666,4.8661826769967125e-05,0.9402290311500248,25,0.8425762523617598,0.022512969804895366,3.979386621429028e-06,4.635627918865585e-05,5.41686826725502e-06
0.5,shap,magnitude,0.7761136070176132,0.7726666666666665,5.021200078811402e-05,0.9541948762141378,25,0.7792661474947553,0.02054076762056367,3.2163898583862107e-06,4.8339074378711577e-05,4.431999051511982e-06
0.1,shap,directional,0.6552428176144586,0.6726666666666665,0.00016636884746878107,0.9440425444461372,25,0.660290850530313,0.05415325076240074,1.2589592719239012e-05,0.00015892518774119347,1.3752903873612553e-05
0.3,shap,directional,0.8380176230262788,0.7846666666666666,4.8661826769967125e-05,0.9402290311500248,25,0.8425762523617598,0.022512969804895366,3.979386621429028e-06,4.635627918865585e-05,5.41686826725502e-06
0.5,shap,directional,0.7761136070176132,0.7726666666666665,5.021200078811402e-05,0.9541948762141378,25,0.7792661474947553,0.02054076762056367,3.2163898583862107e-06,4.8339074378711577e-05,4.431999051511982e-06
0.1,pfi,magnitude,0.5296929430004567,0.582,0.0004226223710185687,0.8944347091839802,25,0.5263835290845006,0.06291745684530459,4.618013411880946e-05,0.0004065625623520206,6.260741228517514e-05
0.3,pfi,magnitude,0.6323258828129559,0.6699999999999998,0.00016161271545337094,0.8857795627137315,25,0.6447878012588044,0.02695841527491616,1.5084507571010258e-05,0.00015449997067399406,2.1521543154237474e-05
0.5,pfi,magnitude,0.5705189280718915,0.6679999999999999,0.00017758167345429781,0.9162039048061377,25,0.568872216401518,0.05132265200554598,1.6693230237414424e-05,0.00017232722331109285,2.2476161913979328e-05
0.1,pfi,directional,0.2762555075140174,0.588,0.001252014236832574,0.7703314989666882,25,0.28808626876123034,0.05290156389031109,0.00018081407853139147,0.0012168619568323146,0.00024567181984214213
0.3,pfi,directional,0.3950133299472085,0.6953333333333332,0.0004820672645611632,0.7902719143436755,25,0.393774985421745,0.09295649979518661,8.458344614307389e-05,0.0004545576525875039,0.00012066426316317635
0.5,pfi,directional,0.33589267866966177,0.6719999999999999,0.0007203679748232353,0.8164006781396209,25,0.35374251407181384,0.058939184676426004,0.0001604492901662768,0.0006660147922059744,0.00023030276600742366
