class_ratio,method,top_share_mean,top_share_std,top_share_median,hhi_mean,hhi_std,hhi_median,entropy_norm_mean,entropy_norm_std,entropy_norm_median,group_total_mean,group_total_std,group_total_median,subset
0.1,pfi,0.9607531442961927,0.10743334210049774,1.0,0.947614872857858,0.13288389878877763,1.0,0.6420061601073865,0.3155109054279895,0.6953210451803823,0.015322857142857025,0.021960949766389747,0.0067142857142855,all_groups
0.1,shap,0.9501732093713544,0.1270463448699019,1.0,0.9375152208077709,0.15038667865682184,1.0,0.7431654937911103,0.293911829550825,0.904225253979364,0.22760582214566535,0.229987481586872,0.16240146214123802,all_groups
0.3,pfi,0.9580327379488186,0.11279659191880076,1.0,0.9449742470867822,0.13950768111889733,1.0,0.6747360728210533,0.3228604534623092,0.8392391540459746,0.015578599439775746,0.02251998055260059,0.006964285714285437,all_groups
0.3,shap,0.9481221432348718,0.13116725424467093,1.0,0.9359556436936557,0.15329925752853363,1.0,0.769738807828446,0.27714624759786394,0.9237616501533183,0.2194446304196701,0.2170724384681492,0.15047176528087,all_groups
0.5,pfi,0.9577514318174406,0.11140504699362336,1.0,0.9438362344025664,0.13836257735999394,1.0,0.6991045378464588,0.28152719755939065,0.7867220610299561,0.015529453781512463,0.023550081990926924,0.006190476190476,all_groups
0.5,shap,0.953380493368837,0.12013082084033447,1.0,0.939902338129804,0.14506010151766877,1.0,0.7403514751228716,0.2634630397654234,0.8288569328789455,0.2177023625346556,0.23097357658877865,0.1335095069501548,all_groups
0.1,pfi,0.783880647924368,0.15974449934279558,0.8134034165571832,0.7115325665372713,0.17114461702616837,0.6964434030194305,0.6420061601073865,0.3155109054279895,0.6953210451803823,0.03098063492063473,0.022312373690932332,0.024785714285714203,size>=2
0.1,shap,0.725620472938258,0.16558855967869798,0.6807612583818771,0.6559171492481255,0.166476807988127,0.5653492650635994,0.7431654937911103,0.293911829550825,0.904225253979364,0.43651886998790956,0.2173804131293994,0.378662933188467,size>=2
0.3,pfi,0.7621855150433053,0.16029677643198637,0.7315448325531155,0.6881874001584326,0.17424941718148135,0.6072260189641006,0.6747360728210533,0.3228604534623092,0.8392391540459746,0.032877301587301316,0.025639602535877853,0.02089285714285692,size>=2
0.3,shap,0.7060254783309399,0.16262570837413115,0.6611005588692492,0.6370819809307161,0.15722608171072727,0.5519067801359689,0.769738807828446,0.27714624759786394,0.9237616501533183,0.40067055681666175,0.17500173780946135,0.37415233902486456,size>=2
0.5,pfi,0.761718075450365,0.15308261547258226,0.7675675675675709,0.683236362030474,0.15971728888791262,0.6431848064280533,0.6991045378464588,0.28152719755939065,0.7867220610299561,0.029551190476190255,0.024248373048960336,0.020928571428570998,size>=2
0.5,shap,0.7370659826002405,0.15701280316565075,0.7418056505252965,0.6610491870520941,0.15557626439813868,0.6169399452519235,0.7403514751228716,0.2634630397654234,0.8288569328789455,0.3862779120267451,0.21118123988034593,0.3164380925351204,size>=2
