ratio,method,variant,mean_rank_corr,mean_topk_overlap,mean_magnitude_var,mean_dispersion,n_folds
0.1,shap,magnitude,0.6507402101197136,0.6086666666666667,0.00020298913336809892,0.9362688756900017,25
0.3,shap,magnitude,0.8371109078225174,0.7819999999999999,5.130067230359325e-05,0.9427898158547804,25
0.5,shap,magnitude,0.7111980973898923,0.7099999999999999,0.00010117247909638098,0.9374216011884892,25
0.1,shap,directional,0.6507402101197136,0.6086666666666667,0.00020298913336809892,0.9362688756900017,25
0.3,shap,directional,0.8371109078225174,0.7819999999999999,5.130067230359325e-05,0.9427898158547804,25
0.5,shap,directional,0.7111980973898923,0.7099999999999999,0.00010117247909638098,0.9374216011884892,25
0.1,pfi,magnitude,0.5852602951752508,0.5593333333333333,9.74535981960069e-05,0.9487558299548096,25
0.3,pfi,magnitude,0.6927485417571101,0.7279999999999999,3.5378253115509474e-05,0.952542449180847,25
0.5,pfi,magnitude,0.6000119993576323,0.7153333333333333,6.272867344898652e-05,0.9464113322538232,25
0.1,pfi,directional,0.4934032406649188,0.5593333333333333,0.0001581111513756927,0.9275024155106213,25
0.3,pfi,directional,0.620237627576577,0.7279999999999999,6.030612439314609e-05,0.9365036625673135,25
0.5,pfi,directional,0.5634774344651172,0.7153333333333333,9.893935819029778e-05,0.9258337390481844,25
