ratio,method,variant,mean_rank_corr,mean_topk_overlap,mean_magnitude_var,mean_dispersion,n_folds,median_rank_corr,iqr_rank_corr,sd_magnitude_var,median_magnitude_var,iqr_magnitude_var
0.1,shap,magnitude,0.8175989776132557,0.7399999999999999,0.0001156328504814,0.9396448996372464,25,0.8184646571478935,0.031971619954169084,1.1946846981638844e-05,0.00010926816425846893,1.545558604158983e-05
0.3,shap,magnitude,0.9076874669487042,0.8846666666666666,1.4543755187626542e-05,0.9495494559115916,25,0.9104133615371056,0.012248810153357992,1.078824631880097e-06,1.3706670539786172e-05,1.6483508006851298e-06
0.5,shap,magnitude,0.8278175568482283,0.8079999999999999,5.457790335840943e-05,0.9488325498733166,25,0.8314472060638111,0.021794024325753725,5.778129548930186e-06,5.241382332598118e-05,7.78376800397862e-06
0.1,shap,directional,0.8175989776132557,0.7399999999999999,0.0001156328504814,0.9396448996372464,25,0.8184646571478935,0.031971619954169084,1.1946846981638844e-05,0.00010926816425846893,1.545558604158983e-05
0.3,shap,directional,0.9076874669487042,0.8846666666666666,1.4543755187626542e-05,0.9495494559115916,25,0.9104133615371056,0.012248810153357992,1.078824631880097e-06,1.3706670539786172e-05,1.6483508006851298e-06
0.5,shap,directional,0.8278175568482283,0.8079999999999999,5.457790335840943e-05,0.9488325498733166,25,0.8314472060638111,0.021794024325753725,5.778129548930186e-06,5.241382332598118e-05,7.78376800397862e-06
0.1,pfi,magnitude,0.6567790539563971,0.6306666666666666,9.315286428371586e-05,0.95375266461634,25,0.6555986776235284,0.04042591704514664,1.78085629782788e-05,8.843372688039031e-05,2.247406821257574e-05
0.3,pfi,magnitude,0.7641843743426029,0.6953333333333332,4.108653795185518e-05,0.9619007927175957,25,0.7591218351534864,0.029774389113679356,3.6669072591787927e-06,3.910101577941631e-05,4.160758142494761e-06
0.5,pfi,magnitude,0.6803495637072086,0.6713333333333332,4.700821015980026e-05,0.9608105845679432,25,0.6823218714155767,0.031718162739804434,3.673846922111007e-06,4.511040011535786e-05,4.478163819609144e-06
0.1,pfi,directional,0.5850262491127074,0.6306666666666666,0.0001701130299814,0.9329405101579752,25,0.5820448323262587,0.07406042440775129,3.273698688122687e-05,0.00015952632715568381,4.570715829120526e-05
0.3,pfi,directional,0.6674874032204211,0.6953333333333332,8.607430650542613e-05,0.9451536106050372,25,0.6708766113579658,0.050823604766251695,8.770180973924437e-06,8.192086305316709e-05,1.2810280037458426e-05
0.5,pfi,directional,0.6410949782680794,0.6713333333333332,9.002988991708261e-05,0.9453406886075604,25,0.6419227864078426,0.03537754590628173,9.90307625471376e-06,8.584254501017052e-05,1.3101733398772074e-05
