class_ratio,method,top_share_mean,top_share_std,top_share_median,hhi_mean,hhi_std,hhi_median,entropy_norm_mean,entropy_norm_std,entropy_norm_median,group_total_mean,group_total_std,group_total_median,subset
0.1,pfi,0.9618880004068572,0.10036163650144665,1.0,0.946778454407464,0.13159171510305512,1.0,0.663332044197515,0.28424539199640175,0.7402188464294533,0.011979817927170726,0.017068987121322654,0.0060119047619048,all_groups
0.1,shap,0.9436546615241458,0.13487744306742183,1.0,0.9299571576238509,0.16081974413959998,1.0,0.8316303755956475,0.22527274992651658,0.9299446925313699,0.0780228004802363,0.07688821249265931,0.06099901813824979,all_groups
0.3,pfi,0.9589841728704712,0.10595912183575244,1.0,0.943734778371588,0.13787143924617287,1.0,0.6942803363130251,0.285294677900068,0.7948013518299993,0.011590728291316384,0.01609346400013559,0.006285714285714052,all_groups
0.3,shap,0.9397148269708446,0.14329764349528873,1.0,0.9276700557803405,0.16437064730185733,1.0,0.8548114094787737,0.20231363828489785,0.9775974560644027,0.09837808567905335,0.09389840093443692,0.0713095314619999,all_groups
0.5,pfi,0.9593510842467191,0.11090030668199763,1.0,0.9465467161685496,0.13682765194773827,1.0,0.6573640499997654,0.3293467212007978,0.7515789166799338,0.012246834733893415,0.01686959095057645,0.0062976190476189,all_groups
0.5,shap,0.9474970966028277,0.12827355832066656,1.0,0.9333380833784624,0.15465497663409342,1.0,0.8008409006926585,0.22996915301169774,0.9197522256235114,0.11120432989470637,0.10563784308232266,0.08564477878549981,all_groups
0.1,pfi,0.7845401623000995,0.13729035798361167,0.7906602254428468,0.6991208622501965,0.15317378016054606,0.668966733308973,0.663332044197515,0.28424539199640175,0.7402188464294533,0.0249911904761903,0.02347597735560907,0.015797619047619,size>=2
0.1,shap,0.6807097486368261,0.13836374901839382,0.6545435485383321,0.6030905598684886,0.1292219403969038,0.5477674167896397,0.8316303755956475,0.22527274992651658,0.9299446925313699,0.17062323405285468,0.100780355037077,0.12115078998249981,size>=2
0.3,pfi,0.767576979599337,0.1387118539284421,0.760143626570918,0.6811637441056653,0.15512988907234168,0.6353494128909385,0.6942803363130251,0.285294677900068,0.7948013518299993,0.021218571428571184,0.014687691983283091,0.015797619047618908,size>=2
0.3,shap,0.658384019501453,0.14230128538357953,0.5878854839435115,0.590130316088596,0.12077793612908642,0.5154477165759703,0.8548114094787737,0.20231363828489785,0.9775974560644027,0.19654799772589013,0.08100717769363194,0.1644309500962497,size>=2
0.5,pfi,0.7696561440647411,0.16181381039793605,0.7846534653465351,0.6970980582884473,0.17518946018068285,0.6620551906675822,0.6573640499997654,0.3293467212007978,0.7515789166799338,0.022562857142856937,0.016589265979792527,0.01672619047619083,size>=2
0.5,shap,0.702483547416023,0.14281786240674613,0.6652033291865822,0.6222491391446201,0.13394945929201008,0.5545842799486604,0.8008409006926585,0.22996915301169774,0.9197522256235114,0.21227955643946428,0.09790679225130786,0.18033292375424959,size>=2
