class_ratio,method,top_share_mean,top_share_std,top_share_median,hhi_mean,hhi_std,hhi_median,entropy_norm_mean,entropy_norm_std,entropy_norm_median,group_total_mean,group_total_std,group_total_median,subset
0.1,pfi,0.957361420318455,0.11004243726642328,1.0,0.9425204940716324,0.13911573029891688,1.0,0.70758041573324,0.2707785011926554,0.7677006879302799,0.010921876750699996,0.012759133809537719,0.007190476190475801,all_groups
0.1,shap,0.9472291834512319,0.12837666555885113,1.0,0.9329114659655882,0.15463056099033293,1.0,0.8054630724634302,0.2227909869221749,0.8758859895672312,0.11922189323857768,0.10207143685178927,0.10374758991359961,all_groups
0.3,pfi,0.954823266970603,0.11687302494735095,1.0,0.9409827371988527,0.14444452189165854,1.0,0.7172495874983618,0.30181773788574773,0.8241545289336074,0.009943683473389057,0.01088644641122195,0.0066904761904759,all_groups
0.3,shap,0.9467513845350629,0.1326303083846172,1.0,0.9342724163432017,0.1563017949741118,1.0,0.785362187780205,0.2756444775586189,0.9471189939068098,0.13958571556672747,0.12268242734773076,0.114972749042,all_groups
0.5,pfi,0.9544272734725844,0.11773532684148645,1.0,0.940666277031755,0.14502151562862897,1.0,0.7218619764948897,0.29581573869741706,0.8544939092210166,0.009891036414565504,0.010634090143115586,0.006190476190475943,all_groups
0.5,shap,0.9537754529685173,0.1178739622431264,1.0,0.9395474805787664,0.14547091981737204,1.0,0.7368005307535963,0.2730350813730892,0.8737581645681508,0.1556340716542273,0.13616638889716864,0.1263359963435093,all_groups
0.1,pfi,0.7589498962003318,0.14403528506903196,0.7758346581876069,0.6750491931516287,0.1501248006059755,0.6521695173149478,0.70758041573324,0.2707785011926554,0.7677006879302799,0.0193171428571424,0.013945798293211294,0.015428571428570698,size>=2
0.1,shap,0.7009653728903138,0.14068632135034145,0.7043678231182638,0.6198316404716663,0.12794480079993384,0.5835324142521959,0.8054630724634302,0.2227909869221749,0.8758859895672312,0.22696627558192817,0.10741189490640599,0.19812705271728082,size>=2
0.3,pfi,0.7439985128334174,0.15350350312435682,0.7417102966841331,0.6655688441268324,0.16184766128284672,0.6168477350462633,0.7172495874983618,0.30181773788574773,0.8241545289336074,0.01616833333333286,0.008979297643260801,0.013654761904761328,size>=2
0.3,shap,0.6982578456986893,0.1574683781790402,0.6345441117495166,0.627543692611476,0.15553733738365288,0.5362042360129329,0.785362187780205,0.2756444775586189,0.9471189939068098,0.25122117083001744,0.08576300263997268,0.21623795870249932,size>=2
0.5,pfi,0.741754549677978,0.1541405640306923,0.7207009857612338,0.6637755698466118,0.161702899074709,0.5974178502319607,0.7218619764948897,0.29581573869741706,0.8544939092210166,0.015645555555555093,0.009242407349358108,0.013392857142857083,size>=2
0.5,shap,0.7380609001549314,0.1494749915490083,0.7060587340857414,0.6574357232796759,0.15265632538374926,0.5849204037860366,0.7368005307535963,0.2730350813730892,0.8737581645681508,0.2712651195435744,0.10620497234561053,0.23796136571262427,size>=2
