class_ratio,repeat_id,fold_id,tau,n_groups,agreement_spearman_raw,agreement_spearman_group,topk_overlap_raw,topk_overlap_group
0.1,0,0,0.5,17,0.7729323308270677,0.7916666666666667,0.8,0.8
0.1,0,1,0.5,17,0.875187969924812,0.9264705882352943,1.0,0.8
0.1,0,2,0.5,17,0.5609022556390978,0.5539215686274511,0.6,0.6
0.1,0,3,0.5,17,0.6766917293233082,0.7377450980392158,0.6,0.8
0.1,0,4,0.5,17,0.5518796992481202,0.6838235294117648,0.6,0.8
0.1,1,0,0.5,17,0.6270676691729322,0.732843137254902,0.6,0.8
0.1,1,1,0.5,17,0.9263157894736842,0.9509803921568628,1.0,1.0
0.1,1,2,0.5,17,0.8406015037593983,0.8137254901960784,0.6,0.8
0.1,1,3,0.5,17,0.7398496240601502,0.8431372549019609,0.4,0.8
0.1,1,4,0.5,17,0.8150375939849623,0.8799019607843139,0.6,0.8
0.1,2,0,0.5,17,0.813533834586466,0.8284313725490197,0.6,0.6
0.1,2,1,0.5,17,0.9218045112781955,0.9264705882352943,0.8,0.6
0.1,2,2,0.5,17,0.7819548872180451,0.8112745098039217,0.6,0.6
0.1,2,3,0.5,17,0.6556390977443608,0.6544117647058824,0.8,0.8
0.1,2,4,0.5,17,0.8601503759398496,0.9411764705882353,0.6,0.8
0.1,3,0,0.5,17,0.8150375939849623,0.8308823529411766,0.8,0.8
0.1,3,1,0.5,17,0.7218045112781954,0.8284313725490197,0.8,0.6
0.1,3,2,0.5,17,0.8225563909774435,0.8627450980392157,0.6,0.6
0.1,3,3,0.5,17,0.7203007518796991,0.7377450980392158,0.4,0.6
0.1,3,4,0.5,17,0.813533834586466,0.8186274509803922,0.8,0.4
0.1,4,0,0.5,17,0.7112781954887217,0.678921568627451,0.4,0.4
0.1,4,1,0.5,17,0.8451127819548873,0.8823529411764707,0.8,1.0
0.1,4,2,0.5,17,0.8180451127819548,0.8455882352941178,0.6,0.8
0.1,4,3,0.5,17,0.8857142857142858,0.9093137254901962,0.6,1.0
0.1,4,4,0.5,17,0.6481203007518795,0.6911764705882353,0.6,0.6
0.3,0,0,0.5,17,0.6466165413533834,0.7941176470588236,0.8,0.8
0.3,0,1,0.5,17,0.8165413533834586,0.8627450980392157,0.6,1.0
0.3,0,2,0.5,17,0.7804511278195487,0.875,0.6,0.8
0.3,0,3,0.5,17,0.7368421052631579,0.8039215686274511,0.8,0.8
0.3,0,4,0.5,17,0.6992481203007518,0.8088235294117647,0.6,0.8
0.3,1,0,0.5,17,0.7203007518796991,0.8627450980392157,0.8,0.6
