ratio_high,ratio_low,metric,median_diff,iqr_diff,n_pairs
0.3,0.1,metric_accuracy,0.030000000000000027,0.030000000000000027,25
0.3,0.1,metric_roc_auc,0.032738095238095344,0.019642857142857073,25
0.3,0.1,metric_train_pos_ratio,0.19999999999999998,0.0,25
0.5,0.1,metric_accuracy,0.0050000000000000044,0.03500000000000003,25
0.5,0.1,metric_roc_auc,0.028214285714285636,0.023214285714285743,25
0.5,0.1,metric_train_pos_ratio,0.4,0.0,25
0.5,0.3,metric_accuracy,-0.025000000000000022,0.03500000000000003,25
0.5,0.3,metric_roc_auc,-0.001071428571428501,0.014880952380952439,25
0.5,0.3,metric_train_pos_ratio,0.2,0.0,25
