ratio,variant,mean_spearman,mean_topk_overlap,mean_cosine,n_folds,median_spearman,iqr_spearman,median_topk_overlap,iqr_topk_overlap,median_cosine,iqr_cosine
0.1,magnitude,0.7753528059023367,0.384,0.8146612238895398,25,0.7875877805493784,0.05050373570777389,0.4,0.39999999999999997,0.822915082550772,0.12399729974536877
0.3,magnitude,0.7876560110272404,0.448,0.8243014093470434,25,0.7948263361648668,0.05699105259780546,0.4,0.19999999999999996,0.8258766593799783,0.07817376694526346
0.5,magnitude,0.7713403019735915,0.504,0.8236618558607849,25,0.7782844758232467,0.08551865471296594,0.6,0.19999999999999996,0.8215146176235535,0.0814416180068317
0.1,directional,0.2462483111138472,0.384,0.3630416311664248,25,0.29098365410234267,0.2400357723149389,0.4,0.39999999999999997,0.37259963254381173,0.2673268865487435
0.3,directional,0.2671629253992515,0.448,0.4858454669301534,25,0.26595684926993807,0.260046730851495,0.4,0.19999999999999996,0.5447540431119317,0.25834394459844445
0.5,directional,0.2518804410145323,0.504,0.4975785035471705,25,0.2863483002466386,0.22924071121665063,0.6,0.19999999999999996,0.5155738142399624,0.2782033884803045
