ratio,method,variant,mean_rank_corr,mean_topk_overlap,mean_magnitude_var,mean_dispersion,n_folds,median_rank_corr,iqr_rank_corr,sd_magnitude_var,median_magnitude_var,iqr_magnitude_var
0.1,shap,magnitude,0.7888702590589108,0.5286666666666667,3.2574763608398264e-05,0.972881105182472,25,0.7923560603306886,0.02626772982267145,2.9074382410334837e-06,3.090133030016018e-05,3.4113180755360383e-06
0.3,shap,magnitude,0.8673080409709394,0.8533333333333334,5.840117535103063e-06,0.9759929139166226,25,0.8699677153931815,0.015456627266448808,2.9113758600419004e-07,5.594278703827563e-06,4.049525866207084e-07
0.5,shap,magnitude,0.7893336109082537,0.7613333333333333,1.6714753930082928e-05,0.9756556174030222,25,0.7907118144477746,0.03368927910929298,1.5693351661673125e-06,1.6003911883721527e-05,1.9922844831211055e-06
0.1,shap,directional,0.7888702590589108,0.5286666666666667,3.2574763608398264e-05,0.972881105182472,25,0.7923560603306886,0.02626772982267145,2.9074382410334837e-06,3.090133030016018e-05,3.4113180755360383e-06
0.3,shap,directional,0.8673080409709394,0.8533333333333334,5.840117535103063e-06,0.9759929139166226,25,0.8699677153931815,0.015456627266448808,2.9113758600419004e-07,5.594278703827563e-06,4.049525866207084e-07
0.5,shap,directional,0.7893336109082537,0.7613333333333333,1.6714753930082928e-05,0.9756556174030222,25,0.7907118144477746,0.03368927910929298,1.5693351661673125e-06,1.6003911883721527e-05,1.9922844831211055e-06
0.1,pfi,magnitude,0.5916944539776664,0.3626666666666666,1.9369446612231688e-05,0.9838978158720724,25,0.594451281121025,0.02409920587435943,2.5712380696089e-06,1.7921777498822404e-05,3.426887578244494e-06
0.3,pfi,magnitude,0.6772729999978421,0.4026666666666667,1.0971927381661102e-05,0.9867801257348232,25,0.6815938645612807,0.03248334669093367,6.969930179590897e-07,1.0594680930462139e-05,9.83837425342931e-07
0.5,pfi,magnitude,0.5999114299113273,0.412,1.241990965308251e-05,0.9866029562155868,25,0.602873608949094,0.032899622579999455,1.0473947232902417e-06,1.2027959459885453e-05,1.3738512912119921e-06
0.1,pfi,directional,0.5225019259487366,0.3626666666666666,9.0165346257407e-05,0.9587193375731766,25,0.5222773956388651,0.03630426883064275,1.604223001134443e-05,8.180480873306808e-05,2.169687454445056e-05
0.3,pfi,directional,0.5786650524464436,0.4026666666666667,4.750261364098796e-05,0.9718713665411868,25,0.5826578171757871,0.05140980335762324,5.424862765893574e-06,4.485580396442657e-05,6.615433926949613e-06
0.5,pfi,directional,0.5275161506563305,0.412,4.655725167981869e-05,0.9726853049661556,25,0.5248894964464769,0.04092092640057832,5.011768059053127e-06,4.369865303313389e-05,7.5113751224091855e-06
