ratio,method,variant,mean_rank_corr,mean_topk_overlap,mean_magnitude_var,mean_dispersion,n_folds
0.1,shap,magnitude,0.7888702590589108,0.5286666666666667,3.2574763608398264e-05,0.972881105182472,25
0.3,shap,magnitude,0.8673080409709394,0.8533333333333334,5.840117535103063e-06,0.9759929139166226,25
0.5,shap,magnitude,0.7893336109082537,0.7613333333333333,1.6714753930082928e-05,0.9756556174030222,25
0.1,shap,directional,0.7888702590589108,0.5286666666666667,3.2574763608398264e-05,0.972881105182472,25
0.3,shap,directional,0.8673080409709394,0.8533333333333334,5.840117535103063e-06,0.9759929139166226,25
0.5,shap,directional,0.7893336109082537,0.7613333333333333,1.6714753930082928e-05,0.9756556174030222,25
0.1,pfi,magnitude,0.5916944539776664,0.36266666666666664,1.9369446612231688e-05,0.9838978158720723,25
0.3,pfi,magnitude,0.6772729999978421,0.40266666666666673,1.0971927381661102e-05,0.9867801257348231,25
0.5,pfi,magnitude,0.5999114299113273,0.41200000000000003,1.241990965308251e-05,0.9866029562155867,25
0.1,pfi,directional,0.5225019259487366,0.36266666666666664,9.016534625740701e-05,0.9587193375731766,25
0.3,pfi,directional,0.5786650524464436,0.40266666666666673,4.750261364098796e-05,0.9718713665411868,25
0.5,pfi,directional,0.5275161506563305,0.41200000000000003,4.6557251679818684e-05,0.9726853049661557,25
