ratio,method,mean_rank_corr,mean_magnitude_var,mean_dispersion,n_folds
0.1,shap,0.693501852947152,0.0001357865874397,0.9490898063771984,15
0.3,shap,0.8562349960049174,3.176748253785117e-05,0.951929716738718,15
0.5,shap,0.7543352050559929,5.794105885917333e-05,0.951167346209314,15
0.1,pfi,0.263054814422348,0.0004021039758753,0.9154774674255238,15
0.3,pfi,0.3146711968556319,0.0001666941011276,0.9135293587928744,15
0.5,pfi,0.292721019241495,0.0002519895519594,0.9178844530905984,15
