class_ratio,variant,mean_spearman_tree,mean_topk_overlap_tree,mean_cosine_tree,mean_spearman_linear,mean_topk_overlap_linear,mean_cosine_linear,mean_spearman_delta_linear_minus_tree,mean_topk_overlap_delta_linear_minus_tree,mean_cosine_delta_linear_minus_tree
0.1,magnitude,0.8576983177365689,0.6240000000000001,0.8740437318627028,0.8126741253274019,0.56,0.8326517710159698,-0.045024192409166996,-0.06400000000000006,-0.04139196084673302
0.3,magnitude,0.7920473263691019,0.648,0.8859752963708005,0.8262282880014524,0.5760000000000001,0.8544533970079327,0.034180961632350515,-0.07199999999999995,-0.03152189936286787
0.5,magnitude,0.8103392759774114,0.624,0.8919615174027318,0.8005986272339015,0.6080000000000001,0.8660557955731935,-0.009740648743509883,-0.015999999999999903,-0.02590572182953832
0.1,directional,0.3903162506853381,0.6240000000000001,0.7909640524306836,0.3780797988497313,0.56,0.7132218710776727,-0.012236451835606788,-0.06400000000000006,-0.07774218135301092
0.3,directional,0.4439511261810261,0.648,0.8362035055973444,0.4002787349696474,0.5760000000000001,0.7495051523621509,-0.043672391211378725,-0.07199999999999995,-0.08669835323519348
0.5,directional,0.3895751428875635,0.624,0.8282658503857911,0.4424811096784443,0.6080000000000001,0.7781839531800003,0.052905966790880776,-0.015999999999999903,-0.050081897205790815
