ratio,method,variant,mean_rank_corr,mean_topk_overlap,mean_magnitude_var,mean_dispersion,n_folds,median_rank_corr,iqr_rank_corr,sd_magnitude_var,median_magnitude_var,iqr_magnitude_var
0.1,shap,magnitude,0.5431942696968609,0.4513333333333333,0.0001160926332262,0.9519403891800172,25,0.5476370723193712,0.060121599921786784,1.0230759610053412e-05,0.00011172598189895564,1.2855939988726503e-05
0.3,shap,magnitude,0.6620810400577368,0.5806666666666668,4.789778797921667e-05,0.9551839025801636,25,0.664336135104313,0.045740428988991555,4.025799365574393e-06,4.6151443215744094e-05,5.182445076861555e-06
0.5,shap,magnitude,0.5817944589060255,0.59,6.12080954517125e-05,0.9574302988503828,25,0.5879232580848379,0.042071971986834544,5.252017271980324e-06,5.80185626833429e-05,7.560382299466798e-06
0.1,shap,directional,0.5431942696968609,0.4513333333333333,0.0001160926332262,0.9519403891800172,25,0.5476370723193712,0.060121599921786784,1.0230759610053412e-05,0.00011172598189895564,1.2855939988726503e-05
0.3,shap,directional,0.6620810400577368,0.5806666666666668,4.789778797921667e-05,0.9551839025801636,25,0.664336135104313,0.045740428988991555,4.025799365574393e-06,4.6151443215744094e-05,5.182445076861555e-06
0.5,shap,directional,0.5817944589060255,0.59,6.12080954517125e-05,0.9574302988503828,25,0.5879232580848379,0.042071971986834544,5.252017271980324e-06,5.80185626833429e-05,7.560382299466798e-06
0.1,pfi,magnitude,0.4936204431179618,0.4,5.190529299825851e-05,0.9631271469773686,25,0.5015451782302647,0.047113938698569835,4.583512284103085e-06,5.031895380234643e-05,6.526204181084419e-06
0.3,pfi,magnitude,0.5815652976905722,0.6693333333333332,2.3910372690661653e-05,0.9641745906539596,25,0.5812250414080459,0.039398285209327866,1.9392951788718598e-06,2.288209416729945e-05,2.4112481949490877e-06
0.5,pfi,magnitude,0.5072079291623961,0.598,3.186869969364863e-05,0.9662496506735718,25,0.509322470063274,0.030590824746613676,3.559087281550719e-06,3.0307675880327447e-05,4.872482334376971e-06
0.1,pfi,directional,0.3884475529307505,0.4,9.090016770704534e-05,0.9433405424055812,25,0.38903026957200976,0.05026389574405726,7.746308782425205e-06,8.808735865646576e-05,1.0167183033186114e-05
0.3,pfi,directional,0.4630986435098138,0.6693333333333332,5.955130553118781e-05,0.9356860002902694,25,0.4604895359897226,0.028924719366529128,6.250455410115975e-06,5.677605928546217e-05,8.584503895588617e-06
0.5,pfi,directional,0.4275377796020945,0.598,6.15113123960728e-05,0.9457400018484048,25,0.42672516518607284,0.021513182612064752,6.153139970831464e-06,5.942368567946533e-05,8.716504047119827e-06
