class_ratio,repeat_id,fold_id,tau,n_groups,agreement_spearman_raw,agreement_spearman_group,topk_overlap_raw,topk_overlap_group
0.1,0,0,0.5,17,0.7819548872180451,0.8651960784313727,0.6,0.8
0.1,0,1,0.5,17,0.7714285714285714,0.8627450980392157,0.4,0.6
0.1,0,2,0.5,17,0.7999999999999999,0.8799019607843139,0.6,0.6
0.1,0,3,0.5,17,0.8406015037593983,0.9068627450980394,0.8,0.8
0.1,0,4,0.5,17,0.77593984962406,0.8406862745098039,0.6,0.6
0.1,1,0,0.5,17,0.77593984962406,0.8161764705882354,0.8,0.8
0.1,1,1,0.5,17,0.8481203007518796,0.911764705882353,0.8,0.8
0.1,1,2,0.5,17,0.849624060150376,0.9264705882352943,0.8,0.8
0.1,1,3,0.5,17,0.8812030075187969,0.9166666666666667,0.6,1.0
0.1,1,4,0.5,17,0.7609022556390977,0.8088235294117647,0.8,0.6
0.1,2,0,0.5,17,0.8481203007518796,0.8946078431372549,0.6,0.8
0.1,2,1,0.5,17,0.765237020316027,0.7276073619631903,0.6,0.6
0.1,2,2,0.5,17,0.7218045112781954,0.823529411764706,0.4,0.6
0.1,2,3,0.5,17,0.9203007518796992,0.931372549019608,0.6,0.6
0.1,2,4,0.5,17,0.9428141459744167,0.9460122699386503,0.8,0.6
0.1,3,0,0.5,17,0.8932330827067668,0.911764705882353,0.6,0.8
0.1,3,1,0.5,17,0.7187969924812029,0.6911764705882353,0.8,0.6
0.1,3,2,0.5,17,0.77593984962406,0.8872549019607844,0.4,0.8
0.1,3,3,0.5,17,0.793984962406015,0.875,0.4,0.6
0.1,3,4,0.5,17,0.8812030075187969,0.9338235294117647,0.6,0.8
0.1,4,0,0.5,17,0.7849624060150376,0.7696078431372549,0.8,0.8
0.1,4,1,0.5,17,0.8481203007518796,0.8970588235294119,0.8,0.6
0.1,4,2,0.5,17,0.6902255639097743,0.8578431372549021,0.6,0.8
0.1,4,3,0.5,17,0.7563909774436091,0.928921568627451,1.0,1.0
0.1,4,4,0.5,17,0.837593984962406,0.8725490196078433,0.8,0.6
0.3,0,0,0.5,17,0.7308270676691728,0.8210784313725491,0.6,1.0
0.3,0,1,0.5,17,0.7999999999999999,0.8504901960784315,0.6,0.8
0.3,0,2,0.5,17,0.7563909774436091,0.8333333333333335,0.6,0.8
0.3,0,3,0.5,17,0.8285714285714285,0.8382352941176472,0.8,0.8
0.3,0,4,0.5,17,0.7548872180451127,0.7401960784313727,0.6,0.6
0.3,1,0,0.5,17,0.8390977443609022,0.8700980392156864,0.8,0.8
0.3,1,1,0.5,17,0.8766917293233082,0.9044117647058825,0.6,0.8
0.3,1,2,0.5,17,0.8300751879699247,0.7990196078431374,1.0,1.0
0.3,1,3,0.5,17,0.8857142857142858,0.8995098039215688,0.8,0.8
0.3,1,4,0.5,17,0.7533834586466165,0.7916666666666667,0.8,0.8
0.3,2,0,0.5,17,0.7789473684210525,0.823529411764706,0.6,0.6
0.3,2,1,0.5,17,0.8601503759398496,0.8799019607843139,0.6,0.6
0.3,2,2,0.5,17,0.7669172932330827,0.8112745098039217,0.8,1.0
0.3,2,3,0.5,17,0.7744360902255639,0.8186274509803922,0.8,0.8
0.3,2,4,0.5,17,0.8270676691729323,0.8480392156862745,0.8,1.0
0.3,3,0,0.5,17,0.819548872180451,0.8627450980392157,0.8,0.8
0.3,3,1,0.5,17,0.7999999999999999,0.8161764705882354,0.8,1.0
0.3,3,2,0.5,17,0.7503759398496239,0.7843137254901962,0.6,0.6
0.3,3,3,0.5,17,0.706766917293233,0.7671568627450981,0.8,1.0
0.3,3,4,0.5,17,0.882706766917293,0.9068627450980394,0.8,0.8
0.3,4,0,0.5,17,0.8030075187969924,0.8676470588235294,0.6,0.8
0.3,4,1,0.5,17,0.7353383458646616,0.8308823529411766,0.8,0.8
0.3,4,2,0.5,17,0.9368421052631578,0.9338235294117647,1.0,1.0
0.3,4,3,0.5,17,0.7398496240601502,0.8553921568627452,0.6,0.8
0.3,4,4,0.5,17,0.8540255831452218,0.879754601226994,0.8,0.8
0.5,0,0,0.5,17,0.8932330827067668,0.911764705882353,0.8,0.8
