ratio,variant,mean_spearman,mean_topk_overlap,mean_cosine,n_folds
0.1,magnitude,0.9243690779669821,0.496,0.8510180857811497,25
0.3,magnitude,0.8778819169695431,0.512,0.8854583460564589,25
0.5,magnitude,0.873077472794093,0.592,0.8749415972040699,25
0.1,directional,0.2978464055720127,0.496,0.7261715286344885,25
0.3,directional,0.23560695374329563,0.512,0.7761578583134194,25
0.5,directional,0.26332754285635146,0.592,0.7554579929602221,25
