class_ratio,method,top_share_mean,top_share_std,top_share_median,hhi_mean,hhi_std,hhi_median,entropy_norm_mean,entropy_norm_std,entropy_norm_median,group_total_mean,group_total_std,group_total_median,subset
0.1,pfi,0.958000884979183,0.10177122775255347,1.0,0.9401936153956487,0.13605230398455523,1.0,0.7179534344480981,0.20756664453887502,0.7408063520665428,0.014125560224089456,0.01963923231429143,0.0068928571428573,all_groups
0.1,shap,0.9425411465291288,0.13349200943138845,1.0,0.9272382123940344,0.16140101052781078,1.0,0.8335127578886666,0.19675819677205178,0.9215532666131642,0.22035621700482338,0.21670070911413702,0.1590133930895303,all_groups
0.3,pfi,0.9510920805879207,0.11815961684758854,1.0,0.9348248775095996,0.1494843757510525,1.0,0.7799638312190926,0.22027947052978625,0.8396923435511358,0.013900028011204197,0.018312068306770686,0.007023809523809399,all_groups
0.3,shap,0.9438355772758681,0.12840570720935013,1.0,0.926877388806423,0.16107330680001616,1.0,0.8583884543531656,0.14205793062697786,0.9065159882469174,0.2097797579309743,0.20776939734336106,0.1396468102551064,all_groups
0.5,pfi,0.9512507043604406,0.11858666766132042,1.0,0.9353135010961311,0.1489884569504274,1.0,0.7813912356071175,0.2183751561417269,0.8427574165558558,0.014182983193277049,0.018842038778804943,0.007392857142857001,all_groups
0.5,shap,0.9442529971718164,0.12861420838749796,1.0,0.9277264692468381,0.1600096736257684,1.0,0.8573362241634103,0.13811859566910653,0.9067719536456015,0.24274434469621695,0.23768057408842322,0.1546112266630855,all_groups
0.1,pfi,0.7715248142867556,0.11740828408448326,0.7903535741737117,0.6746532677523286,0.11935706394555322,0.6686103960708982,0.7179534344480981,0.20756664453887502,0.7408063520665428,0.02728801587301558,0.020374498566523017,0.018904761904761397,size>=2
0.1,shap,0.6874238371184606,0.1311084873851632,0.6633741010747558,0.6041758754235474,0.11693012926025909,0.5533821938039689,0.8335127578886666,0.19675819677205178,0.9215532666131642,0.41917040793087906,0.22223639319204486,0.38366334996943463,size>=2
0.3,pfi,0.7267677568845168,0.12939780853017382,0.7312312312312329,0.6358883156869627,0.126115547890527,0.6069357645934238,0.7799638312190926,0.22027947052978625,0.8396923435511358,0.026039603174602678,0.01732875266122171,0.018761904761904143,size>=2
0.3,shap,0.6862280917145163,0.10589038788098723,0.6780252717596867,0.5914883454652168,0.0876935752776388,0.5633859947702206,0.8583884543531656,0.14205793062697786,0.9065159882469174,0.38528152990779063,0.18716665361734164,0.37689035877801613,size>=2
0.5,pfi,0.7250539725928854,0.131010041308156,0.7290969899665738,0.6351681461821795,0.12491491590122904,0.6049708616234888,0.7813912356071175,0.2183751561417269,0.8427574165558558,0.024607063492063097,0.01637495606755257,0.01955952380952332,size>=2
0.5,shap,0.6855869040490442,0.10910946797412022,0.6777868547798462,0.5923772865521669,0.08639245624642487,0.5632163314650201,0.8573362241634103,0.13811859566910653,0.9067719536456015,0.43379018257445257,0.23498172136055526,0.4102395060478822,size>=2
