ratio,method,variant,mean_rank_corr,mean_topk_overlap,mean_magnitude_var,mean_dispersion,n_folds,median_rank_corr,iqr_rank_corr,sd_magnitude_var,median_magnitude_var,iqr_magnitude_var
0.1,shap,magnitude,0.6507402101197136,0.6086666666666667,0.000202989133368,0.9362688756900016,25,0.6586253608339496,0.03927299077368829,1.5124817702198686e-05,0.00019380325134020937,2.1557692391945574e-05
0.3,shap,magnitude,0.8371109078225174,0.7819999999999999,5.130067230359325e-05,0.9427898158547804,25,0.8414519842693137,0.01867859231219149,3.7416908831557323e-06,4.934907517914981e-05,5.3770918906196924e-06
0.5,shap,magnitude,0.7111980973898923,0.7099999999999999,0.0001011724790963,0.9374216011884892,25,0.7153414211221508,0.036424711966210666,7.4400584122529525e-06,9.820608990206365e-05,8.58678717533597e-06
0.1,shap,directional,0.6507402101197136,0.6086666666666667,0.000202989133368,0.9362688756900016,25,0.6586253608339496,0.03927299077368829,1.5124817702198686e-05,0.00019380325134020937,2.1557692391945574e-05
0.3,shap,directional,0.8371109078225174,0.7819999999999999,5.130067230359325e-05,0.9427898158547804,25,0.8414519842693137,0.01867859231219149,3.7416908831557323e-06,4.934907517914981e-05,5.3770918906196924e-06
0.5,shap,directional,0.7111980973898923,0.7099999999999999,0.0001011724790963,0.9374216011884892,25,0.7153414211221508,0.036424711966210666,7.4400584122529525e-06,9.820608990206365e-05,8.58678717533597e-06
0.1,pfi,magnitude,0.5852602951752508,0.5593333333333333,9.74535981960069e-05,0.9487558299548096,25,0.5863631763097659,0.04463718455697829,8.578463157507602e-06,9.333900860870131e-05,1.2068010673800582e-05
0.3,pfi,magnitude,0.6927485417571101,0.7279999999999999,3.5378253115509474e-05,0.952542449180847,25,0.696257672523252,0.028919462306189248,2.949139166068958e-06,3.39768505247834e-05,4.004455307082331e-06
0.5,pfi,magnitude,0.6000119993576323,0.7153333333333333,6.272867344898652e-05,0.9464113322538232,25,0.6049269333073963,0.04126621009944298,6.4075285696670866e-06,5.921501643229951e-05,1.0201054454063965e-05
0.1,pfi,directional,0.4934032406649188,0.5593333333333333,0.0001581111513756,0.9275024155106212,25,0.4866528231324338,0.05714656006872293,1.65922156474344e-05,0.00015339254091838422,2.2790979153175522e-05
0.3,pfi,directional,0.620237627576577,0.7279999999999999,6.030612439314609e-05,0.9365036625673137,25,0.6240942295986348,0.028480549016335677,5.511553079081863e-06,5.7402687565130085e-05,7.720197062855699e-06
0.5,pfi,directional,0.5634774344651172,0.7153333333333333,9.893935819029778e-05,0.9258337390481844,25,0.5783168614739012,0.06304930439422851,8.425151947901391e-06,9.559119892802658e-05,1.1327446608247382e-05
