ratio,variant,mean_spearman,mean_topk_overlap,mean_cosine,n_folds,median_spearman,iqr_spearman,median_topk_overlap,iqr_topk_overlap,median_cosine,iqr_cosine
0.1,magnitude,0.8126741253274019,0.56,0.8326517710159698,25,0.8196192490745636,0.0675289661436903,0.6,0.19999999999999996,0.8415095472335377,0.10627441621741529
0.3,magnitude,0.8262282880014524,0.5760000000000001,0.8544533970079327,25,0.8319230002113884,0.04005922950182761,0.6,0.0,0.8558473967852153,0.05332412944692344
0.5,magnitude,0.8005986272339015,0.6080000000000001,0.8660557955731935,25,0.8130990627239236,0.06709904613103912,0.6,0.0,0.8667572042717941,0.03885568018177599
0.1,directional,0.3780797988497313,0.56,0.7132218710776727,25,0.36105712664613115,0.24418548862330103,0.6,0.19999999999999996,0.7484815074823166,0.23601875437626452
0.3,directional,0.4002787349696474,0.5760000000000001,0.7495051523621509,25,0.37859636344648595,0.25494183565772927,0.6,0.0,0.7673837445435707,0.10418295659024068
0.5,directional,0.4424811096784443,0.6080000000000001,0.7781839531800003,25,0.45225944646815786,0.22373947312597792,0.6,0.0,0.7887168487779614,0.08056257881929119
