class_ratio,method,top_share_mean,top_share_std,top_share_median,hhi_mean,hhi_std,hhi_median,entropy_norm_mean,entropy_norm_std,entropy_norm_median,group_total_mean,group_total_std,group_total_median,subset
0.1,pfi,0.9617474573620673,0.10187688158284532,1.0,0.9471303848851067,0.13235233577072097,1.0,0.6586615859303968,0.2968646605662067,0.7660425342491591,0.011911344537814962,0.01662445435470587,0.0061428571428571,all_groups
0.1,shap,0.9429730857775002,0.13652029777338762,1.0,0.9296381855996717,0.161710844763598,1.0,0.8333709217600568,0.2320272295615076,0.9322383005082543,0.07523456415955423,0.07329735564182704,0.060775061721249996,all_groups
0.3,pfi,0.959198033048668,0.10540911396791175,1.0,0.9438955422850847,0.13746936014752978,1.0,0.6923367955369585,0.2863054525726572,0.8172395395426291,0.01154897759103628,0.01604650766288608,0.006202380952380871,all_groups
0.3,shap,0.9397314160667928,0.14328537672523556,1.0,0.9276922198638188,0.16436354371884285,1.0,0.8544852182529361,0.20330145807392513,0.9776537970676689,0.09836937901692505,0.09389899268691874,0.07158958884375,all_groups
0.5,pfi,0.957839912617531,0.11166977746668105,1.0,0.9441162281588545,0.13810709947240907,1.0,0.6887502729459046,0.2905516677305982,0.7753839078955004,0.012115532212884996,0.016816993518899096,0.0061071428571428,all_groups
0.5,shap,0.9457530551834835,0.13161170999953808,1.0,0.931953343218429,0.1573460066466695,1.0,0.8133062947465072,0.22970760624317502,0.9306054590252062,0.10751493673577897,0.10286351906686844,0.078554610277,all_groups
0.1,pfi,0.7832355917183821,0.14230376516265023,0.7767584097859779,0.7004055143489384,0.15953741791804513,0.6531904347745265,0.6586615859303968,0.2968646605662067,0.7660425342491591,0.024241587301587066,0.020776386203641594,0.015619047619047368,size>=2
0.1,shap,0.6768474860725013,0.14010068484544191,0.6520341000950344,0.6012830517314731,0.13093797231147386,0.5462287351834137,0.8333709217600568,0.2320272295615076,0.9322383005082543,0.16532658008775492,0.09160679891817664,0.1223885266274998,size>=2
0.3,pfi,0.7687888539424522,0.13799941907942795,0.7462039045553045,0.6820747396154795,0.15464515950612903,0.621232725236555,0.6923367955369585,0.2863054525726572,0.8172395395426291,0.021145158730158518,0.014603207142616943,0.0156666666666664,size>=2
0.3,shap,0.6584780243784921,0.14241879645737765,0.5877754778040191,0.5902559125616395,0.12107786774736319,0.5154090690074478,0.8544852182529361,0.20330145807392513,0.9776537970676689,0.1965241737154106,0.08103344529614545,0.16429511395249968,size>=2
0.5,pfi,0.7616549726644413,0.15456525848567224,0.7715019255455744,0.6840704098580579,0.16050628688529706,0.6474265911499093,0.6887502729459046,0.2905516677305982,0.7753839078955004,0.021914444444444202,0.015496444485088719,0.016142857142856702,size>=2
0.5,shap,0.6926006460397396,0.14275095350639058,0.6538250851696441,0.6144022782377647,0.13324282661420098,0.5473243136548966,0.8133062947465072,0.22970760624317502,0.9306054590252062,0.2050017150746769,0.08512279230827854,0.1799162650807499,size>=2
