ratio,method,variant,mean_rank_corr,mean_topk_overlap,mean_magnitude_var,mean_dispersion,n_folds,median_rank_corr,iqr_rank_corr,sd_magnitude_var,median_magnitude_var,iqr_magnitude_var
0.1,shap,magnitude,0.8097528644456194,0.7286666666666666,0.0001070762555781,0.9424249938823376,25,0.8079587519830778,0.03157500440683947,1.1597066753775895e-05,0.0001005583505507932,1.7099102967148378e-05
0.3,shap,magnitude,0.9066576767142605,0.8986666666666667,1.4519644238624536e-05,0.9495391306319292,25,0.9092830072272168,0.011982196368764297,1.0874071289751723e-06,1.3689916096132367e-05,1.656776646315431e-06
0.5,shap,magnitude,0.8306733650625769,0.844,4.125081934961289e-05,0.9503629658584004,25,0.8339789353075974,0.028534285210646826,2.8721146616657583e-06,3.9818155143043734e-05,3.8860107323224164e-06
0.1,shap,directional,0.8097528644456194,0.7286666666666666,0.0001070762555781,0.9424249938823376,25,0.8079587519830778,0.03157500440683947,1.1597066753775895e-05,0.0001005583505507932,1.7099102967148378e-05
0.3,shap,directional,0.9066576767142605,0.8986666666666667,1.4519644238624536e-05,0.9495391306319292,25,0.9092830072272168,0.011982196368764297,1.0874071289751723e-06,1.3689916096132367e-05,1.656776646315431e-06
0.5,shap,directional,0.8306733650625769,0.844,4.125081934961289e-05,0.9503629658584004,25,0.8339789353075974,0.028534285210646826,2.8721146616657583e-06,3.9818155143043734e-05,3.8860107323224164e-06
0.1,pfi,magnitude,0.643555036163415,0.6253333333333333,8.322045093590371e-05,0.95624825341877,25,0.6443245639615441,0.03925113021057669,1.2212108820055242e-05,7.858471065767022e-05,1.5485099293792242e-05
0.3,pfi,magnitude,0.7597873711388473,0.7059999999999998,4.108952918087656e-05,0.9618992932663276,25,0.7581644948489868,0.029742312376736524,3.6150320951256224e-06,3.916714074382144e-05,4.0111971042645905e-06
0.5,pfi,magnitude,0.6748267653561973,0.646,4.331069367202804e-05,0.961598720173608,25,0.6766456404924951,0.028459083897435122,3.3598882597745867e-06,4.158038878881632e-05,3.788405716843068e-06
0.1,pfi,directional,0.5869289317060699,0.6253333333333333,0.0001553847027761,0.9346756372271569,25,0.5793063957441705,0.07333495564392267,2.0414222834105333e-05,0.0001455532311238782,2.6521687134652995e-05
0.3,pfi,directional,0.6710383957536736,0.7059999999999998,8.777805455949002e-05,0.9442643107673496,25,0.6694210107425764,0.054514327167558996,9.141902935713314e-06,8.365295550668837e-05,1.3715596543988713e-05
0.5,pfi,directional,0.6383761791233731,0.646,8.350833321045879e-05,0.9460686829591178,25,0.6426076081059591,0.03691097538338217,8.029264476407035e-06,7.913684390222632e-05,1.0521105576038664e-05
