class_ratio,repeat_id,fold_id,tau,n_groups,agreement_spearman_raw,agreement_spearman_group,topk_overlap_raw,topk_overlap_group
0.1,0,0,0.7,20,0.831578947368421,0.831578947368421,0.8,0.8
0.1,0,1,0.7,20,0.7293233082706766,0.7293233082706766,0.6,0.6
0.1,0,2,0.7,20,0.9097744360902256,0.9097744360902256,0.8,0.8
0.1,0,3,0.7,20,0.78796992481203,0.78796992481203,0.6,0.6
0.1,0,4,0.7,20,0.793984962406015,0.793984962406015,0.6,0.6
0.1,1,0,0.7,20,0.806015037593985,0.806015037593985,0.4,0.4
0.1,1,1,0.7,20,0.8857142857142858,0.8857142857142858,1.0,1.0
0.1,1,2,0.7,20,0.6887218045112782,0.6887218045112782,0.6,0.6
0.1,1,3,0.7,20,0.8887218045112781,0.8887218045112781,0.8,0.8
0.1,1,4,0.7,20,0.8240601503759398,0.8240601503759398,0.8,0.8
0.1,2,0,0.7,20,0.7203007518796991,0.7203007518796991,0.6,0.6
0.1,2,1,0.7,20,0.882706766917293,0.882706766917293,1.0,1.0
0.1,2,2,0.7,20,0.8075187969924811,0.8075187969924811,0.6,0.6
0.1,2,3,0.7,20,0.78796992481203,0.78796992481203,0.6,0.6
0.1,2,4,0.7,20,0.8616541353383457,0.8616541353383457,0.8,0.8
0.1,3,0,0.7,20,0.6646616541353383,0.6646616541353383,0.6,0.6
0.1,3,1,0.7,20,0.8165413533834586,0.8165413533834586,0.8,0.8
0.1,3,2,0.7,20,0.932330827067669,0.932330827067669,0.6,0.6
0.1,3,3,0.7,20,0.8030075187969924,0.8030075187969924,0.6,0.6
0.1,3,4,0.7,20,0.7999999999999999,0.7999999999999999,0.6,0.6
0.1,4,0,0.7,20,0.8330827067669173,0.8330827067669173,0.8,0.8
0.1,4,1,0.7,20,0.9157894736842105,0.9157894736842105,0.8,0.8
0.1,4,2,0.7,20,0.6481203007518795,0.6481203007518795,0.4,0.4
0.1,4,3,0.7,20,0.7127819548872181,0.7127819548872181,0.4,0.4
0.1,4,4,0.7,20,0.8360902255639097,0.8360902255639097,0.8,0.8
0.3,0,0,0.7,20,0.8766917293233082,0.8766917293233082,0.8,0.8
0.3,0,1,0.7,20,0.8506958104420347,0.8506958104420347,0.8,0.8
0.3,0,2,0.7,20,0.8556390977443609,0.8556390977443609,0.8,0.8
0.3,0,3,0.7,20,0.9082706766917292,0.9082706766917292,0.6,0.6
0.3,0,4,0.7,20,0.7308270676691728,0.7308270676691728,0.8,0.8
0.3,1,0,0.7,20,0.8105263157894737,0.8105263157894737,0.6,0.6
0.3,1,1,0.7,20,0.9127819548872179,0.9127819548872179,0.8,0.8
0.3,1,2,0.7,20,0.813533834586466,0.813533834586466,0.6,0.6
0.3,1,3,0.7,20,0.838661210117479,0.838661210117479,0.6,0.6
0.3,1,4,0.7,20,0.8706766917293233,0.8706766917293233,0.6,0.6
0.3,2,0,0.7,20,0.8481203007518796,0.8481203007518796,0.6,0.6
0.3,2,1,0.7,20,0.8812030075187969,0.8812030075187969,0.8,0.8
0.3,2,2,0.7,20,0.7022556390977444,0.7022556390977444,0.6,0.6
0.3,2,3,0.7,20,0.7338345864661654,0.7338345864661654,0.8,0.8
0.3,2,4,0.7,20,0.831578947368421,0.831578947368421,0.6,0.6
0.3,3,0,0.7,20,0.8120300751879698,0.8120300751879698,0.8,0.8
0.3,3,1,0.7,20,0.8421052631578947,0.8421052631578947,0.6,0.6
0.3,3,2,0.7,20,0.7669172932330827,0.7669172932330827,0.6,0.6
0.3,3,3,0.7,20,0.8345864661654135,0.8345864661654135,0.6,0.6
0.3,3,4,0.7,20,0.8436090225563909,0.8436090225563909,1.0,1.0
0.3,4,0,0.7,20,0.8947368421052632,0.8947368421052632,0.8,0.8
0.3,4,1,0.7,20,0.6736842105263157,0.6736842105263157,0.6,0.6
0.3,4,2,0.7,20,0.8330827067669173,0.8330827067669173,0.4,0.4
0.3,4,3,0.7,20,0.9112781954887217,0.9112781954887217,0.8,0.8
0.3,4,4,0.7,20,0.875187969924812,0.875187969924812,0.8,0.8
0.5,0,0,0.7,20,0.7999999999999999,0.7999999999999999,0.8,0.8
0.5,0,1,0.7,20,0.8466165413533834,0.8466165413533834,0.4,0.4
0.5,0,2,0.7,20,0.7849624060150376,0.7849624060150376,0.8,0.8
0.5,0,3,0.7,20,0.8526315789473683,0.8526315789473683,0.6,0.6
0.5,0,4,0.7,20,0.7684210526315788,0.7684210526315788,0.6,0.6
0.5,1,0,0.7,20,0.7533834586466165,0.7533834586466165,0.6,0.6
0.5,1,1,0.7,20,0.9172932330827066,0.9172932330827066,1.0,1.0
0.5,1,2,0.7,20,0.8120300751879698,0.8120300751879698,0.6,0.6
0.5,1,3,0.7,20,0.8451127819548873,0.8451127819548873,0.8,0.8
0.5,1,4,0.7,20,0.819548872180451,0.819548872180451,0.4,0.4
0.5,2,0,0.7,20,0.7684210526315788,0.7684210526315788,0.6,0.6
