ratio,method,variant,mean_rank_corr,mean_topk_overlap,mean_magnitude_var,mean_dispersion,n_folds,median_rank_corr,iqr_rank_corr,sd_magnitude_var,median_magnitude_var,iqr_magnitude_var
0.1,shap,magnitude,0.649535459101536,0.6539999999999999,0.0001900018203312,0.9378620906305464,25,0.6562202025465959,0.0423502899053676,1.0715940994620725e-05,0.0001825027524906389,1.2587088575378714e-05
0.3,shap,magnitude,0.8358656226015218,0.8013333333333331,5.6504318914676215e-05,0.9398635177417368,25,0.8404866419787478,0.026564512375643945,7.935185692660417e-06,5.317803345717679e-05,1.085594542937688e-05
0.5,shap,magnitude,0.710298793859176,0.7146666666666666,0.0001080266570322,0.9333602963164692,25,0.716515130957594,0.0441308195802792,7.177266988977086e-06,0.00010381582607228353,1.0732675430595776e-05
0.1,shap,directional,0.649535459101536,0.6539999999999999,0.0001900018203312,0.9378620906305464,25,0.6562202025465959,0.0423502899053676,1.0715940994620725e-05,0.0001825027524906389,1.2587088575378714e-05
0.3,shap,directional,0.8358656226015218,0.8013333333333331,5.6504318914676215e-05,0.9398635177417368,25,0.8404866419787478,0.026564512375643945,7.935185692660417e-06,5.317803345717679e-05,1.085594542937688e-05
0.5,shap,directional,0.710298793859176,0.7146666666666666,0.0001080266570322,0.9333602963164692,25,0.716515130957594,0.0441308195802792,7.177266988977086e-06,0.00010381582607228353,1.0732675430595776e-05
0.1,pfi,magnitude,0.5746507870632434,0.5446666666666666,9.659301031379125e-05,0.9494820683520204,25,0.5787946449139509,0.03451372941400799,8.105407486384544e-06,9.276270289860261e-05,1.126052627452805e-05
0.3,pfi,magnitude,0.6972567066415466,0.7213333333333333,4.36528661679126e-05,0.9486591668643836,25,0.7003313981636587,0.027559670177208173,5.502034418126222e-06,4.099788945698269e-05,7.320723959380926e-06
0.5,pfi,magnitude,0.6025435350512817,0.7013333333333333,7.498498019758869e-05,0.9417371072194862,25,0.613302439066593,0.050605318624391105,7.625188635081916e-06,7.20807957826797e-05,1.0579411228125887e-05
0.1,pfi,directional,0.5100071454859014,0.5446666666666666,0.0001620525705881,0.9273294264776925,25,0.5141522078740083,0.058680909869889775,1.7544514142027848e-05,0.00015709560609841836,2.2335058235956756e-05
0.3,pfi,directional,0.6249837925984807,0.7213333333333333,6.935037835919173e-05,0.931102619776128,25,0.6344045018662944,0.04883146763191637,7.642548123073812e-06,6.56043930621078e-05,1.1482783271204606e-05
0.5,pfi,directional,0.5439643288366455,0.7013333333333333,0.0001089699358458,0.9223199271391488,25,0.538328837647494,0.05595281170604094,1.0232446421451236e-05,0.00010572188715617543,1.3836482081362698e-05
